page,rowType,productName,serviceName,pingMonitorId,healthMonitorId,apmEntityGuid,apmAppId,browserEntityGuid,scriptMonitorId
TFO,product,T&F Online (TFO),tfo-website-ui,,,,,,
TFO,service,T&F Online (TFO),tfo-website-ui,,,,,,
Platform,product,Platform Core Services,platform-identity-website-ui,,,,,,
Platform,service,Platform Core Services,platform-auth-api,,,,,,
Platform,service,Platform Core Services,platform-identity-website-ui,,,,,,
SP,product,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-auth-client-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-journal-config-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-renderer-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-ro-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-storage-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-notifications-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-author-dashboard-ui,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-events-notification-api,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-transfer-api,,,,,,
SD,product,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,,,,,,
SD,service,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,,,,,,
CATS,product,CATS,cats-website-ui,,,,,,
CATS,service,CATS,cats-website-ui,,,,,,
CATS,service,CATS,cats-ecopyrights-api,,,,,,
CATS,service,CATS,cats-search-indexing-api,,,,,,
CATS,service,CATS,cats-notifications-worker,,,,,,
CATS,service,CATS,cats-manuscript-worker,,,,,,
ME,product,T&F Matching Engine,,,,,,,
ME,service,T&F Matching Engine,dap-me-articlecategory-api,,,,,,
ME,service,T&F Matching Engine,dap-me-licensemandate-api,,,,,,
ASC,product,Author Side Charges (ASC),pj-asc-website-ui,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-agree-author-ui,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-agree-admin-ui,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-ecs-api,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-website-ui,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-dashboard-api,,,,,,
ASC,service,Author Side Charges (ASC),customers-api,,,,,,
ASC,service,Author Side Charges (ASC),orders-api,,,,,,
RD,product,Research Dashboard (RD),pj-rd-dashboard-ui,,,,,,
RD,service,Research Dashboard (RD),pj-rd-dashboard-ui,,,,,,
RD,service,Research Dashboard (RD),pcm-products-api,,,,,,
RD,service,Research Dashboard (RD),pj-rd-articlesearch-api,,,,,,
Mulesoft,product,T&F Mulesoft,,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-customer-integration-api,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-invoice-integration-api,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-order-integration-api,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-exchange-rate-integration-api,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sys-sap-informatf,,,,,,